"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 00:36:07 WIB 2024","Fri Mar 01 00:36:10 WIB 2024","2766","","Swag Labs - Login: As a standart_user, I should get error message","","","","When Meiman login with ""standart_user"" credential",""
"passed","Fri Mar 01 00:36:10 WIB 2024","Fri Mar 01 00:36:10 WIB 2024","327","","Swag Labs - Login: As a standart_user, I should get error message","","","","Then Meiman should see error ""Epic sadface: Username and password do not match any user in this service""",""
"passed","Fri Mar 01 00:36:10 WIB 2024","Fri Mar 01 00:36:10 WIB 2024","2","","Swag Labs - Login: As a standart_user, I should get error message","","","","",""
"passed","Fri Mar 01 00:36:03 WIB 2024","Fri Mar 01 00:36:07 WIB 2024","3828","","Swag Labs - Login: As a standart_user, I should get error message","","","","Given Meiman is on the login page",""
